project_id;proj_name;prof_pk;volgnr;prof_ids;prof_wpeil;prof_opm;prof_hpeil;prof_lpeil;prof_rpeil;code;sub_code;tekencode;afstand;afst_afw;afst_bron;bk;bk_eenheid;bk_afw;bk_bron;ok;ok_eenheid;ok_afw;ok_bron;opm;_bk_wp;_bk_nap;_ok_nap;_ok_wp;fotos;datumtijd;method;stok_len;l1_len;gps_rd_x;gps_rd_y;gps_rd_z;gps_wgs_x;gps_wgs_y;gps_wgs_z;gps_h_afw;gps_z_afw;epsg;gps_z_nap_pole;last_modified
TI20072;Prio 1- 1 W7610-3 Zeeburg;17;0;1#i0;-0.39;;-0.39;-5.64;-1.31;1;1;200;-2.4;;manual;-112.0;cm tov WP;;manual;;mNAP;;;;-112.0;0.7300000000000001;;;;2020-03-13T07:39:21.968Z;;;;;;;;;;;;4326.0;;2020-03-13T07:39:57.075Z
TI20072;Prio 1- 1 W7610-3 Zeeburg;17;1;1#i0;-0.39;;-0.39;-5.64;-1.31;1;;200;-0.4;;manual;-30.0;cm tov WP;;manual;;mNAP;;;;-30.0;-0.09000000000000002;;;;2020-03-13T07:38:39.672Z;;;;;;;;;;;;4326.0;;2020-03-13T07:38:39.672Z
TI20072;Prio 1- 1 W7610-3 Zeeburg;17;2;1#i0;-0.39;;-0.39;-5.64;-1.31;22L;;52;0.0;4.17;gps;-5.64;mNAP;4.17;gps;;mNAP;;;;0;-0.39;-0.39;0;;2020-03-13T07:37:51.328Z;;4.0;0.07006;126171.597;487099.781;-1.57318823853067;4.963895333333333;52.37101887166667;41.374;1.85;4.17;4326.0;-5.64324823853067;2020-03-13T07:37:51.328Z
TI20072;Prio 1- 1 W7610-3 Zeeburg;17;3;1#i0;-0.39;;-0.39;-5.64;-1.31;99;5;200;0.1;;manual;12.0;cm tov WP;;manual;25.0;cm tov WP;;manual;;12.0;-0.51;-0.64;25.0;;2020-03-13T07:17:02.180Z;;;;;;;;;;;;4326.0;;2020-03-13T07:17:02.180Z
TI20072;Prio 1- 1 W7610-3 Zeeburg;17;4;1#i0;-0.39;;-0.39;-5.64;-1.31;99;5;200;0.5;;manual;52.0;cm tov WP;;manual;62.0;cm tov WP;;manual;;52.0;-0.91;-1.01;62.0;;2020-03-13T07:17:09.766Z;;;;;;;;;;;;4326.0;;2020-03-13T07:17:09.766Z
TI20072;Prio 1- 1 W7610-3 Zeeburg;17;5;1#i0;-0.39;;-0.39;-5.64;-1.31;99;5;;1.0;;manual;70.0;cm tov WP;;manual;90.0;cm tov WP;;manual;;70.0;-1.0899999999999999;-1.29;90.0;;2020-03-13T07:17:41.189Z;;;;;;;;;;;;4326.0;;2020-03-13T07:17:41.189Z
TI20072;Prio 1- 1 W7610-3 Zeeburg;17;6;1#i0;-0.39;;-0.39;-5.64;-1.31;99;5;;1.5;;manual;73.0;cm tov WP;;manual;98.0;cm tov WP;;manual;;73.0;-1.12;-1.37;98.0;;2020-03-13T07:17:48.436Z;;;;;;;;;;;;4326.0;;2020-03-13T07:17:48.436Z
TI20072;Prio 1- 1 W7610-3 Zeeburg;17;7;1#i0;-0.39;;-0.39;-5.64;-1.31;99;5;;2.0;;manual;71.0;cm tov WP;;manual;100.0;cm tov WP;;manual;;71.0;-1.1;-1.3900000000000001;100.0;;2020-03-13T07:17:54.746Z;;;;;;;;;;;;4326.0;;2020-03-13T07:17:54.746Z
TI20072;Prio 1- 1 W7610-3 Zeeburg;17;8;1#i0;-0.39;;-0.39;-5.64;-1.31;99;5;;3.0;;manual;65.0;cm tov WP;;manual;100.0;cm tov WP;;manual;;65.0;-1.04;-1.3900000000000001;100.0;;2020-03-13T07:18:05.841Z;;;;;;;;;;;;4326.0;;2020-03-13T07:18:05.841Z
TI20072;Prio 1- 1 W7610-3 Zeeburg;17;9;1#i0;-0.39;;-0.39;-5.64;-1.31;99;7;;3.5;;manual;68.0;cm tov WP;;manual;92.0;cm tov WP;;manual;;68.0;-1.07;-1.31;92.0;;2020-03-13T07:18:39.890Z;;;;;;;;;;;;4326.0;;2020-03-13T07:18:39.890Z
